site_no,date_20XX, annual_runoff, statis number of days 
'06803486, 2000, 2201.06, 92 
'06803486, 2001, 34437.36, 365 
'06803486, 2002, 13491.21, 365 
'06803486, 2003, 10859.17, 365 
'06803486, 2004, 8893.77, 366 
'06803486, 2005, 11422.25, 365 
'06803486, 2006, 12576.22, 365 
'06803486, 2007, 62805.82, 365 
'06803486, 2008, 95886.55, 366 
'06803486, 2009, 31100.03, 365 
'06803486, 2010, 71793.32, 365 
'06803486, 2011, 44719.34, 365 
'06803486, 2012, 16833.02, 366 
'06803486, 2013, 16039.26, 365 
'06803486, 2014, 70420.03, 365 
'06803486, 2015, 68874.45, 365 
'06803486, 2016, 79819.44, 366 
'06803486, 2017, 71579.50, 365 
'06803486, 2018, 53472.79, 365 
'06803486, 2019, 127617.52, 273 
'06803495, 2005, 46383.27, 353 
'06803495, 2006, 44310.55, 365 
'06803495, 2007, 169856.53, 365 
'06803495, 2008, 252522.84, 366 
'06803495, 2009, 74851.44, 365 
'06803495, 2010, 214021.88, 365 
'06803495, 2011, 143072.33, 365 
'06803495, 2012, 66706.91, 366 
'06803495, 2013, 78682.31, 365 
'06803495, 2014, 147447.47, 365 
'06803495, 2015, 331812.30, 365 
'06803495, 2016, 202611.77, 366 
'06803495, 2017, 177919.34, 365 
'06803495, 2018, 175197.62, 365 
'06803495, 2019, 324458.18, 273 
